*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.04296875}
{'pid': 212, 'username': None, 'name': '', 'vms': 0.171875}
{'pid': 256, 'username': None, 'name': 'Registry', 'vms': 11.80859375}
{'pid': 680, 'username': None, 'name': 'csrss.exe', 'vms': 2.53125}
{'pid': 692, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 13.14453125}
{'pid': 708, 'username': None, 'name': 'smss.exe', 'vms': 1.14453125}
{'pid': 844, 'username': None, 'name': 'svchost.exe', 'vms': 3.25}
{'pid': 1088, 'username': None, 'name': 'wininit.exe', 'vms': 1.48046875}
{'pid': 1096, 'username': None, 'name': 'csrss.exe', 'vms': 3.09375}
{'pid': 1156, 'username': None, 'name': 'winlogon.exe', 'vms': 2.72265625}
{'pid': 1228, 'username': None, 'name': 'services.exe', 'vms': 7.41796875}
{'pid': 1248, 'username': None, 'name': 'LsaIso.exe', 'vms': 1.28125}
{'pid': 1256, 'username': None, 'name': 'lsass.exe', 'vms': 13.66015625}
{'pid': 1324, 'username': None, 'name': 'svchost.exe', 'vms': 2.8203125}
{'pid': 1396, 'username': None, 'name': 'svchost.exe', 'vms': 16.796875}
{'pid': 1416, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.7265625}
{'pid': 1424, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 3.2109375}
{'pid': 1440, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 1.4296875}
{'pid': 1452, 'username': None, 'name': 'FileSyncHelper.exe', 'vms': 7.03515625}
{'pid': 1484, 'username': None, 'name': 'WUDFHost.exe', 'vms': 18.16015625}
{'pid': 1564, 'username': None, 'name': 'svchost.exe', 'vms': 12.5625}
{'pid': 1620, 'username': None, 'name': 'svchost.exe', 'vms': 3.48828125}
{'pid': 1696, 'username': None, 'name': 'WUDFHost.exe', 'vms': 1.51171875}
{'pid': 1740, 'username': None, 'name': 'dwm.exe', 'vms': 491.58203125}
{'pid': 1848, 'username': None, 'name': 'svchost.exe', 'vms': 2.68359375}
{'pid': 1856, 'username': None, 'name': 'svchost.exe', 'vms': 1.40234375}
{'pid': 1880, 'username': None, 'name': 'svchost.exe', 'vms': 8.484375}
{'pid': 1888, 'username': None, 'name': 'svchost.exe', 'vms': 2.328125}
{'pid': 1908, 'username': None, 'name': 'svchost.exe', 'vms': 3.79296875}
{'pid': 1912, 'username': None, 'name': 'svchost.exe', 'vms': 5.3984375}
{'pid': 1980, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 159.82421875}
{'pid': 2068, 'username': None, 'name': 'svchost.exe', 'vms': 2.59765625}
{'pid': 2084, 'username': None, 'name': 'svchost.exe', 'vms': 2.234375}
{'pid': 2092, 'username': None, 'name': 'svchost.exe', 'vms': 6.8046875}
{'pid': 2100, 'username': None, 'name': 'svchost.exe', 'vms': 3.62109375}
{'pid': 2120, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'dllhost.exe', 'vms': 1.5625}
{'pid': 2300, 'username': None, 'name': 'svchost.exe', 'vms': 3.10546875}
{'pid': 2308, 'username': None, 'name': 'svchost.exe', 'vms': 3.6015625}
{'pid': 2352, 'username': None, 'name': 'svchost.exe', 'vms': 1.7734375}
{'pid': 2380, 'username': None, 'name': 'svchost.exe', 'vms': 2.1640625}
{'pid': 2408, 'username': None, 'name': 'svchost.exe', 'vms': 2.2890625}
{'pid': 2416, 'username': None, 'name': 'svchost.exe', 'vms': 2.17578125}
{'pid': 2460, 'username': None, 'name': 'svchost.exe', 'vms': 7.88671875}
{'pid': 2472, 'username': None, 'name': 'OffloadItemService.exe', 'vms': 2.98046875}
{'pid': 2540, 'username': None, 'name': 'svchost.exe', 'vms': 11.71875}
{'pid': 2572, 'username': None, 'name': 'svchost.exe', 'vms': 2.46875}
