
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Secure System                  212 Services                   0     64,376 K
Registry                       256 Services                   0     53,844 K
smss.exe                       708 Services                   0        340 K
csrss.exe                      680 Services                   0      2,768 K
wininit.exe                   1088 Services                   0      1,092 K
csrss.exe                     1096 Console                    1      4,316 K
winlogon.exe                  1156 Console                    1      6,848 K
services.exe                  1228 Services                   0      9,128 K
LsaIso.exe                    1248 Services                   0      1,428 K
lsass.exe                     1256 Services                   0     20,640 K
svchost.exe                   1396 Services                   0     30,996 K
fontdrvhost.exe               1416 Services                   0        852 K
fontdrvhost.exe               1424 Console                    1      3,900 K
WUDFHost.exe                  1484 Services                   0      9,248 K
svchost.exe                   1564 Services                   0     17,716 K
svchost.exe                   1620 Services                   0      5,176 K
WUDFHost.exe                  1696 Services                   0      2,316 K
dwm.exe                       1740 Console                    1   1,38,312 K
svchost.exe                   1848 Services                   0      9,464 K
svchost.exe                   1856 Services                   0      2,360 K
svchost.exe                   1880 Services                   0      9,280 K
svchost.exe                   1888 Services                   0      4,488 K
svchost.exe                   1908 Services                   0     11,736 K
svchost.exe                   1912 Services                   0      7,724 K
svchost.exe                   1324 Services                   0      5,276 K
svchost.exe                    844 Services                   0      6,624 K
svchost.exe                   2068 Services                   0      5,736 K
svchost.exe                   2084 Services                   0      6,236 K
svchost.exe                   2092 Services                   0     10,956 K
svchost.exe                   2100 Services                   0      6,240 K
svchost.exe                   2300 Services                   0      6,308 K
svchost.exe                   2308 Services                   0      8,408 K
svchost.exe                   2352 Services                   0      2,272 K
svchost.exe                   2380 Services                   0      3,200 K
svchost.exe                   2408 Services                   0      4,940 K
svchost.exe                   2416 Services                   0      4,956 K
svchost.exe                   2460 Services                   0     16,772 K
OffloadItemService.exe        2472 Services                   0      3,200 K
svchost.exe                   2540 Services                   0     12,040 K
svchost.exe                   2572 Services                   0      4,712 K
svchost.exe                   2628 Services                   0      3,536 K
svchost.exe                   2788 Services                   0      8,216 K
svchost.exe                   2888 Services                   0     21,756 K
WUDFHost.exe                  3060 Services                   0     12,140 K
svchost.exe                   3324 Services                   0      3,124 K
svchost.exe                   3512 Services                   0      5,608 K
svchost.exe                   3564 Services                   0      4,460 K
svchost.exe                   3620 Services                   0     15,176 K
svchost.exe                   3672 Services                   0      9,932 K
svchost.exe                   3684 Services                   0      2,288 K
svchost.exe                   3692 Services                   0      5,116 K
svchost.exe                   3760 Services                   0      2,952 K
Memory Compression            3836 Services                   0   8,67,020 K
svchost.exe                   3904 Services                   0      6,408 K
svchost.exe                   3992 Services                   0      4,244 K
DiagsCap.exe                  4000 Services                   0      5,260 K
AppHelperCap.exe              4008 Services                   0     18,812 K
svchost.exe                   4016 Services                   0      5,956 K
TouchpointAnalyticsClient     4032 Services                   0     27,816 K
NetworkCap.exe                4024 Services                   0      6,860 K
SysInfoCap.exe                4040 Services                   0     27,488 K
dasHost.exe                   4052 Services                   0      1,024 K
svchost.exe                   4136 Services                   0     13,860 K
svchost.exe                   4176 Services                   0     10,708 K
svchost.exe                   4428 Services                   0     21,956 K
svchost.exe                   4492 Services                   0      4,704 K
svchost.exe                   4628 Services                   0     20,004 K
svchost.exe                   4636 Services                   0     16,064 K
svchost.exe                   4884 Services                   0      9,120 K
unsecapp.exe                  4268 Services                   0      7,056 K
svchost.exe                   4220 Services                   0      6,972 K
WmiPrvSE.exe                  5168 Services                   0     25,636 K
svchost.exe                   5240 Services                   0     15,136 K
svchost.exe                   5288 Services                   0      8,760 K
spoolsv.exe                   5412 Services                   0      7,340 K
wlanext.exe                   5568 Services                   0      2,668 K
svchost.exe                   5616 Services                   0      6,336 K
svchost.exe                   5664 Services                   0      2,376 K
NgcIso.exe                    5692 Services                   0      2,832 K
svchost.exe                   5708 Services                   0      3,496 K
ETDService.exe                5760 Services                   0      1,892 K
svchost.exe                   5784 Services                   0     41,308 K
svchost.exe                   5796 Services                   0     35,048 K
DtsApo4Service.exe            5804 Services                   0      4,164 K
ipfsvc.exe                    5816 Services                   0      3,488 K
